ID,Area,Sum_length,Density,Mean_price,Sum_Z,Mean_cy,Count_trans,POINT_X,POINT_Y
1784,2.25,1.5032,0.6681,0,3621,0,6,379888.833,3432075.811
2133,2.25,6.6577,2.959,0,2394,0,1,363388.833,3439575.811
1400,2.25,0,0,0,1952,0,4,343888.833,3424575.811
1607,2.25,10.6784,4.746,0,6475,0,12,330388.833,3429075.811
2179,2.25,3.7049,1.6466,0,1526,0,16,324388.833,3441075.811
1599,2.25,11.8212,5.2539,0,1626,0,12,318388.833,3429075.811
393,2.25,2.0514,0.9118,0,472,0,32,345388.833,3403575.811
2386,2.25,0.5429,0.2413,0,1119,0,1,310892.1074,3445571.35
1831,2.25,3.6334,1.6149,0,26142,0,1,342388.833,3433575.811
2254,2.25,2.5565,1.1362,5100,3263,0,1,328888.833,3442575.811
2317,2.25,5.1346,2.282,2700,2389,0,2,315388.833,3444075.811
959,2.25,0.6078,0.2701,0,2111,0,14,330388.833,3415575.811
1541,2.25,2.2203,0.9868,0,2670,0,1,339388.833,3427575.811
2021,2.25,2.6573,1.181,0,4134,0,1,303388.833,3438075.811
604,2.25,6.5476,2.91,0,2138,0,15,337888.833,3408075.811
2239,2.25,0,0,0,591,0,1,306388.833,3442575.811
2758,2.25,3.6318,1.6141,0,1362,0,1,328888.833,3453075.811
2061,2.25,3.431,1.5249,0,1644,0,2,363388.833,3438075.811
3073,2.25,13.961,6.2049,9290.63,52509,2923.5,11,369388.833,3459075.811
2059,2.25,7.7469,3.443,5176.19,956,0,1,360388.833,3438075.811
2341,2.25,6.2378,2.7723,4703.13,115537,0,0,351388.833,3444075.811
1204,2.25,4.6149,2.0511,0,2810,0,0,373888.833,3420075.811
1071,2.25,17.5203,7.7868,0,26819,0,0,390388.833,3417075.811
3223,2.25,1.4364,0.6384,0,45,0,0,378075.5966,3461794.745
2866,2.25,0.8824,0.3922,0,435,0,0,382656.3517,3454284.915
4817,2.25,0,0,0,36013,0,0,393359.5029,3495018.848
1837,2.25,5.72,2.5422,4743.33,10928,0,0,351388.833,3433575.811
4060,2.25,4.3698,1.9422,0,4918,0,0,337888.833,3480075.811
3514,2.25,6.9289,3.0795,0,1447,0,0,382888.833,3468075.811
